time(days),prey(ind/m3),predator(ind/m3)
1.057211442288457732e+02,9.999530278950670947e+01,3.166248083627695893e-03
1.058211642328465700e+02,9.999533641960896091e+01,3.143579522084743571e-03
1.059211842368473668e+02,9.999536980889709525e+01,3.121073275811194446e-03
1.060212042408481778e+02,9.999540295909635290e+01,3.098728182079313678e-03
1.061212242448489746e+02,9.999543587191952554e+01,3.076543086533342283e-03
1.062212442488497715e+02,9.999546854906699878e+01,3.054516843189479351e-03
1.063212642528505683e+02,9.999550099222724953e+01,3.032648314095794280e-03
1.064212842568513651e+02,9.999553320307599336e+01,3.010936369811686129e-03
1.065213042608521761e+02,9.999556518327648291e+01,2.989379889336905242e-03
1.066213242648529729e+02,9.999559693448036057e+01,2.967977759462358135e-03
1.067213442688537697e+02,9.999562845832775793e+01,2.946728874769523766e-03
1.068213642728545665e+02,9.999565975644726734e+01,2.925632137630463508e-03
1.069213842768553775e+02,9.999569083045591356e+01,2.904686458207817682e-03
1.070214042808561743e+02,9.999572168195916788e+01,2.883890754454815093e-03
1.071214242848569711e+02,9.999575231255097663e+01,2.863243952115255685e-03
1.072214442888577679e+02,9.999578272381371846e+01,2.842744984723523990e-03
1.073214642928585789e+02,9.999581291731868760e+01,2.822392793286979465e-03
1.074214842968593757e+02,9.999584289462531217e+01,2.802186326735936397e-03
1.075215043008601725e+02,9.999587265728139585e+01,2.782124541852485592e-03
1.076215243048609693e+02,9.999590220682399888e+01,2.762206402668831995e-03
1.077215443088617803e+02,9.999593154477942392e+01,2.742430880466819373e-03
1.078215643128625771e+02,9.999596067266323018e+01,2.722796953777939424e-03
1.079215843168633739e+02,9.999598959198024772e+01,2.703303608383317465e-03
1.080216043208641707e+02,9.999601830422454896e+01,2.683949837313720672e-03
1.081216243248649675e+02,9.999604681087943447e+01,2.664734640849558949e-03
1.082216443288657786e+02,9.999607511341748989e+01,2.645657026520879720e-03
1.083216643328665754e+02,9.999610321330095530e+01,2.626716008810780958e-03
1.084216843368673722e+02,9.999613111198107163e+01,2.607910609577664563e-03
1.085217043408681690e+02,9.999615881089822267e+01,2.589239857984259718e-03
1.086217243448689800e+02,9.999618631148281622e+01,2.570702789940004264e-03
1.087217443488697768e+02,9.999621361515524143e+01,2.552298448100669571e-03
1.088217643528705736e+02,9.999624072332591140e+01,2.534025881868341885e-03
1.089217843568713704e+02,9.999626763739520641e+01,2.515884147391435344e-03
1.090218043608721814e+02,9.999629435875353067e+01,2.497872307564687200e-03
1.091218243648729782e+02,9.999632088878126979e+01,2.479989432029165199e-03
1.092218443688737750e+02,9.999634722884881910e+01,2.462234597172254999e-03
1.093218643728745718e+02,9.999637338031696743e+01,2.444606885850684683e-03
1.094218843768753828e+02,9.999639934453622914e+01,2.427105387786767255e-03
1.095219043808761796e+02,9.999642512284707152e+01,2.409729199497920131e-03
1.096219243848769764e+02,9.999645071658065376e+01,2.392477423779874098e-03
1.097219443888777732e+02,9.999647612705879851e+01,2.375349169706368873e-03
1.098219643928785700e+02,9.999650135559404873e+01,2.358343552629150498e-03
1.099219843968793811e+02,9.999652640348962507e+01,2.341459694177969175e-03
1.100220044008801779e+02,9.999655127203946847e+01,2.324696722260588804e-03
1.101220244048809747e+02,9.999657596252818337e+01,2.308053771062772673e-03
1.102220444088817715e+02,9.999660047623106607e+01,2.291529981048293432e-03
1.103220644128825825e+02,9.999662481441448847e+01,2.275124498700252865e-03
1.104220844168833793e+02,9.999664897833527277e+01,2.258836476892912490e-03
1.105221044208841761e+02,9.999667296924089044e+01,2.242665074821941634e-03
1.106221244248849729e+02,9.999669678837010167e+01,2.226609457525511454e-03
1.107221444288857839e+02,9.999672043695306911e+01,2.210668795884036461e-03
1.108221644328865807e+02,9.999674391621124414e+01,2.194842266620183630e-03
1.109221844368873775e+02,9.999676722735745216e+01,2.179129052298858522e-03
